,Ensembl gene ID,HGNC ID,Status,Approved symbol,Approved name,NCBI gene ID,UCSC gene ID,RefSeq accession
1173,ENSG00000269580,HGNC:15617,Approved,SIGLEC27P,"sialic acid binding Ig like lectin 27, pseudogene",114186,,NG_004730
1174,ENSG00000100167,HGNC:10750,Approved,SEPTIN3,septin 3,55964,uc003bbr.5,NM_145734
1175,ENSG00000268067,HGNC:14714,Approved,OR5AH1P,olfactory receptor family 5 subfamily AH member 1 pseudogene,79336,,NG_002357
1176,ENSG00000214204,HGNC:48772,Approved,HNRNPA1P43,heterogeneous nuclear ribonucleoprotein A1 pseudogene 43,400769,,NG_022734
1177,ENSG00000273189,,,,,,,
1178,ENSG00000236674,,,,,,,
1179,ENSG00000229014,HGNC:36280,Approved,RPL30P13,ribosomal protein L30 pseudogene 13,100271305,,NG_011039
1180,ENSG00000226148,HGNC:43859,Approved,SLC25A39P1,solute carrier family 25 member 39 pseudogene 1,100420877,,NG_027188
1181,ENSG00000213018,HGNC:54988,Approved,PABPN1P1,PABPN1 pseudogene 1,100420758,,NG_026717
1182,ENSG00000234008,HGNC:9290,Approved,PPP1R2P2,protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2,54036,,NR_144547
1183,ENSG00000224769,HGNC:51921,Approved,MUC20P1,"mucin 20, cell surface associated pseudogene 1",651714,,NG_022290
1184,ENSG00000229717,,,,,,,
1185,ENSG00000269821,HGNC:6295,Approved,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1,10984,uc001lwp.4,NR_002728
1186,ENSG00000268554,,,,,,,
1187,ENSG00000269186,HGNC:49125,Approved,LINC01082,long intergenic non-protein coding RNA 1082,100506542,,NR_103859
1188,ENSG00000268280,,,,,,,
1189,ENSG00000255974,HGNC:2610,Approved,CYP2A6,cytochrome P450 family 2 subfamily A member 6,1548,uc002opl.4,NM_000762
1190,ENSG00000234337,,,,,,,
1191,ENSG00000268301,,,,,,,
1192,ENSG00000268525,,,,,,,
1193,ENSG00000268854,,,,,,,
1194,ENSG00000218565,,,,,,,
1195,ENSG00000187005,HGNC:18945,Approved,KRTAP21-1,keratin associated protein 21-1,337977,uc011adi.3,NM_181619
1196,ENSG00000187012,HGNC:37255,Approved,LINC00207,long intergenic non-protein coding RNA 207,388910,uc011aqg.3,NR_028409
1197,ENSG00000269408,,,,,,,
1198,ENSG00000268711,,,,,,,
1199,ENSG00000142539,,,,,,,
1200,ENSG00000178078,HGNC:30430,Approved,STAP2,signal transducing adaptor family member 2,55620,uc060rvu.1,NM_001013841
1201,ENSG00000268849,HGNC:15611,Approved,SIGLEC22P,"sialic acid binding Ig like lectin 22, pseudogene",114195,,NG_004737
1202,ENSG00000269220,HGNC:26875,Approved,LINC00528,long intergenic non-protein coding RNA 528,200298,uc062bhn.1,NR_103718
1203,ENSG00000261108,,,,,,,
1204,ENSG00000167769,HGNC:18356,Approved,ACER1,alkaline ceramidase 1,125981,uc002mel.3,NM_133492
1205,ENSG00000229205,HGNC:30974,Approved,LINC00200,long intergenic non-protein coding RNA 200,399706,uc010qag.1,NR_015376
1206,ENSG00000196205,HGNC:3200,Approved,EEF1A1P5,eukaryotic translation elongation factor 1 alpha 1 pseudogene 5,158078,,NG_002350
1207,ENSG00000160318,HGNC:28511,Approved,CLDND2,claudin domain containing 2,125875,uc002pwi.1,NM_152353
1208,ENSG00000237831,,,,,,,
1209,ENSG00000225235,HGNC:41180,Approved,INTS6L-AS1,INTS6L antisense RNA 1,100874118,uc033ewb.1,NR_046740
1210,ENSG00000254515,HGNC:55946,Approved,TRPC6P5,TRPC6 pseudogene 5,123464510,,NG_084039
1211,ENSG00000187689,HGNC:33188,Approved,AMTN,amelotin,401138,uc003hfk.3,NM_212557
1212,ENSG00000228376,HGNC:27986,Approved,GAS2L1P2,growth arrest specific 2 like 1 pseudogene 2,340508,,NR_002942
1213,ENSG00000268636,,,,,,,
1214,ENSG00000267920,HGNC:41511,Approved,SNX6P1,sorting nexin 6 pseudogene 1,126506,,NG_002348
1215,ENSG00000225016,HGNC:42027,Approved,LINC00328-2P,"long intergenic non-protein coding RNA 328-2, pseudogene",100874404,,NG_032649
1216,ENSG00000229701,HGNC:42121,Approved,MTND2P20,MT-ND2 pseudogene 20,100873226,,NG_032432
1217,ENSG00000129437,HGNC:6362,Approved,KLK14,kallikrein related peptidase 14,43847,uc061bwe.1,NM_022046
1218,ENSG00000269145,HGNC:55276,Approved,MAST3-AS1,MAST3 antisense RNA 1,118827815,,
1219,ENSG00000268658,HGNC:44319,Approved,LINC00664,long intergenic non-protein coding RNA 664,400680,,NR_037194
1220,ENSG00000172061,HGNC:20818,Approved,LRRC15,leucine rich repeat containing 15,131578,uc003ftu.3,NM_001135057
1221,ENSG00000268413,,,,,,,
1222,ENSG00000268856,,,,,,,
1223,ENSG00000204794,,,,,,,
1224,ENSG00000269175,,,,,,,
1225,ENSG00000268499,,,,,,,
1226,ENSG00000268457,,,,,,,
1227,ENSG00000269519,,,,,,,
1228,ENSG00000167765,,,,,,,
1229,ENSG00000226381,,,,,,,
1230,ENSG00000268194,,,,,,,
1231,ENSG00000142513,HGNC:14376,Approved,ACP4,acid phosphatase 4,93650,uc002pta.1,NM_033068
1232,ENSG00000269025,,,,,,,
1233,ENSG00000126752,HGNC:11335,Approved,SSX1,SSX family member 1,6756,uc004djb.2,NM_005635
1234,ENSG00000213904,HGNC:48589,Approved,LIPE-AS1,LIPE antisense RNA 1,100996307,,NR_073179
1235,ENSG00000105467,HGNC:11502,Approved,SYNGR4,synaptogyrin 4,23546,uc002piz.4,NM_012451
1236,ENSG00000268412,HGNC:44025,Approved,TRMT112P6,tRNA methyltransferase subunit 11-2 pseudogene 6,391358,,NG_027521
1237,ENSG00000184076,HGNC:30863,Approved,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",29796,uc003agq.1,NM_013387
1238,ENSG00000267808,,,,,,,
1239,ENSG00000230833,HGNC:44522,Approved,RPEP3,ribulose-5-phosphate-3-epimerase pseudogene 3,100420555,,NG_027074
1240,ENSG00000173335,HGNC:13261,Approved,CST9,cystatin 9,128822,uc002wtl.4,NM_001008693.1
1241,ENSG00000235963,HGNC:33449,Approved,MCCD1P1,mitochondrial coiled-coil domain 1 pseudogene 1,100048903,,NG_032195
1242,ENSG00000236380,HGNC:13638,Approved,VENTXP7,VENT homeobox pseudogene 7,391518,,NR_002311
1243,ENSG00000260415,,,,,,,
1244,ENSG00000269883,,,,,,,
1245,ENSG00000269792,,,,,,,
1246,ENSG00000268322,HGNC:49705,Approved,BNIP3P25,BCL2 interacting protein 3 pseudogene 25,100421707,,NG_024243
1247,ENSG00000269481,,,,,,,
1248,ENSG00000268977,,,,,,,
1249,ENSG00000268366,HGNC:55281,Approved,SERTAD3-AS1,SERTAD3 antisense RNA 1,105372489,,XR_001753817
1250,ENSG00000238086,HGNC:42015,Approved,PPP1R26P1,protein phosphatase 1 regulatory subunit 26 pseudogene 1,100418740,,NG_009009
1251,ENSG00000215208,HGNC:48887,Approved,KRT18P60,keratin 18 pseudogene 60,100418829,,NG_023441
1252,ENSG00000255433,HGNC:54252,Approved,LINC02735,long intergenic non-protein coding RNA 2735,101927120,,NR_110136
1253,ENSG00000266405,HGNC:42874,Approved,CBX3P2,CBX3 pseudogene 2,645158,,NR_033754
1254,ENSG00000269304,HGNC:3714,Approved,FKBP1AP1,FKBP prolyl isomerase 1A pseudogene 1,2282,,NR_024162
1255,ENSG00000268083,,,,,,,
1256,ENSG00000263417,HGNC:18406,Approved,GTSCR1,"Gilles de la Tourette syndrome chromosome region, candidate 1",220158,uc060pzy.1,NR_160904
1257,ENSG00000254687,,,,,,,
1258,ENSG00000254626,,,,,,,
1259,ENSG00000269575,HGNC:52361,Approved,MTDHP5,metadherin pseudogene 5,100418836,,NG_024248
1260,ENSG00000268154,,,,,,,
1261,ENSG00000237440,HGNC:32468,Approved,ZNF737,zinc finger protein 737,100129842,uc002npa.4,NM_145289
1262,ENSG00000228409,HGNC:33094,Approved,CCT6P1,chaperonin containing TCP1 subunit 6 pseudogene 1,643253,,NR_003110
1263,ENSG00000225713,HGNC:36642,Approved,RPL30P1,ribosomal protein L30 pseudogene 1,100270975,,NG_010656
1264,ENSG00000268613,,,,,,,
1265,ENSG00000269765,,,,,,,
1266,ENSG00000125820,HGNC:7835,Approved,NKX2-2,NK2 homeobox 2,4821,uc002wsi.4,NM_002509
1267,ENSG00000268407,,,,,,,
1268,ENSG00000268336,HGNC:15609,Approved,SIGLEC20P,"sialic acid binding Ig like lectin 20, pseudogene",114192,,NG_004735
1269,ENSG00000269427,,,,,,,
1270,ENSG00000189136,HGNC:37439,Approved,UBE2Q2P1,UBE2Q2 pseudogene 1,388165,,NR_003661
1271,ENSG00000267968,,,,,,,
1272,ENSG00000268171,,,,,,,
1273,ENSG00000269332,HGNC:49921,Approved,GOLGA2P9,GOLGA2 pseudogene 9,440518,,NR_033899
1274,ENSG00000152454,HGNC:13049,Approved,ZNF256,zinc finger protein 256,10172,uc002qqu.4,NM_001375403
1275,ENSG00000142538,HGNC:30828,Approved,PTH2,parathyroid hormone 2,113091,uc002pnn.1,NM_178449
1276,ENSG00000269776,HGNC:43752,Approved,DPPA5P1,developmental pluripotency associated 5 pseudogene 1,646382,,NG_028001
1277,ENSG00000268965,,,,,,,
1278,ENSG00000214821,HGNC:4996,Approved,HMGB1P4,high mobility group box 1 pseudogene 4,10355,,NG_004767
1279,ENSG00000254838,HGNC:25813,Approved,GVINP1,"GTPase, very large interferon inducible pseudogene 1",387751,,NR_003945
1280,ENSG00000269980,,,,,,,
1281,ENSG00000269895,,,,,,,
1282,ENSG00000268583,,,,,,,
1283,ENSG00000167748,HGNC:6357,Approved,KLK1,kallikrein 1,3816,uc002ptk.3,NM_002257
1284,ENSG00000228861,HGNC:23840,Approved,RPL23AP12,ribosomal protein L23a pseudogene 12,391282,,NG_009514
1285,ENSG00000189052,HGNC:16452,Approved,CGB5,chorionic gonadotropin subunit beta 5,93659,uc002ply.4,NM_033043
1286,ENSG00000196260,HGNC:18386,Approved,SFTA2,surfactant associated 2,389376,uc003nsf.4,NM_205854
1287,ENSG00000250651,HGNC:37987,Approved,PABPC1P7,poly(A) binding protein cytoplasmic 1 pseudogene 7,100128183,,NG_011865
1288,ENSG00000178935,HGNC:26135,Approved,ZNF552,zinc finger protein 552,79818,uc002qqg.3,NM_024762
1289,ENSG00000256790,,,,,,,
1290,ENSG00000224012,,,,,,,
1291,ENSG00000230622,HGNC:31341,Approved,UQCRHP1,ubiquinol-cytochrome c reductase hinge protein pseudogene 1,100130756,,NG_023011
1292,ENSG00000225921,HGNC:21040,Approved,NOL7,nucleolar protein 7,51406,uc003naz.4,NM_016167
1293,ENSG00000268582,,,,,,,
1294,ENSG00000230525,HGNC:52589,Approved,LINC01799,long intergenic non-protein coding RNA 1799,101060019,,NR_110169
1295,ENSG00000217159,HGNC:23183,Approved,LARP1P1,LARP1 pseudogene 1,100379623,,NG_029346
1296,ENSG00000217135,,,,,,,
1297,ENSG00000268231,,,,,,,
1298,ENSG00000269845,HGNC:54657,Approved,CCNYL6,cyclin Y like 6 (pseudogene),641367,,NR_024523
1299,ENSG00000197362,HGNC:21806,Approved,ZNF786,zinc finger protein 786,136051,uc003wfh.3,NM_152411
1300,ENSG00000219262,HGNC:15507,Approved,OR2E1P,olfactory receptor family 2 subfamily E member 1 pseudogene,26719,,NG_004088
1301,ENSG00000174460,HGNC:27273,Approved,ZCCHC12,zinc finger CCHC-type containing 12,170261,uc004equ.4,NM_173798
1302,ENSG00000257446,HGNC:37246,Approved,ZNF878,zinc finger protein 878,729747,uc021upl.2,NM_001080404
1303,ENSG00000185002,HGNC:21478,Approved,RFX6,regulatory factor X6,222546,uc003pxm.4,NM_173560
1304,ENSG00000254086,,,,,,,
1305,ENSG00000269042,,,,,,,
1306,ENSG00000269019,HGNC:53775,Approved,HOMER3-AS1,HOMER3 antisense RNA 1,102724360,,NR_134912
1307,ENSG00000242686,HGNC:40438,Approved,PDE6B-AS1,PDE6B antisense RNA 1,101928521,,XR_001741541
1308,ENSG00000230126,HGNC:40235,Approved,FGF12-AS2,FGF12 antisense RNA 2,100873987,uc062rlm.1,NR_046598
1309,ENSG00000269464,,,,,,,
1310,ENSG00000235933,HGNC:52569,Approved,LINC01779,long intergenic non-protein coding RNA 1779,107985190,,
1311,ENSG00000258128,HGNC:7116,Approved,MKRN9P,"makorin ring finger protein 9, pseudogene",400058,,NG_004764
1312,ENSG00000258068,,,,,,,
1313,ENSG00000196466,HGNC:28071,Approved,ZNF799,zinc finger protein 799,90576,uc010dyt.4,NM_001080821
1314,ENSG00000181472,HGNC:20868,Approved,ZBTB2,zinc finger and BTB domain containing 2,57621,uc003qoh.4,NM_020861
1315,ENSG00000268714,,,,,,,
1316,ENSG00000269026,,,,,,,
1317,ENSG00000269706,,,,,,,
1318,ENSG00000176198,HGNC:15347,Approved,OR11H4,olfactory receptor family 11 subfamily H member 4,390442,uc010tld.3,NM_001004479
1319,ENSG00000253297,,,,,,,
1320,ENSG00000068323,HGNC:11752,Approved,TFE3,transcription factor binding to IGHM enhancer 3,7030,uc004dmb.5,NM_006521
1321,ENSG00000267958,,,,,,,
1322,ENSG00000236924,,,,,,,
1323,ENSG00000268175,,,,,,,
1324,ENSG00000268948,,,,,,,
1325,ENSG00000242485,HGNC:14478,Approved,MRPL20,mitochondrial ribosomal protein L20,55052,uc001afo.5,NM_017971
1326,ENSG00000256013,,,,,,,
1327,ENSG00000268402,,,,,,,
1328,ENSG00000126500,HGNC:3760,Approved,FLRT1,fibronectin leucine rich transmembrane protein 1,23769,uc001nyi.2,NM_013280
1329,ENSG00000269177,,,,,,,
1330,ENSG00000269151,,,,,,,
1331,ENSG00000269445,,,,,,,
1332,ENSG00000268742,,,,,,,
1333,ENSG00000271927,,,,,,,
1334,ENSG00000232022,HGNC:50679,Approved,FAAHP1,fatty acid amide hydrolase pseudogene 1,729041,,NR_045483
1335,ENSG00000241431,HGNC:31080,Approved,RPL37P6,ribosomal protein L37 pseudogene 6,346950,,NG_005971
1336,ENSG00000183310,HGNC:31256,Approved,OR2T34,olfactory receptor family 2 subfamily T member 34,127068,uc001iep.1,NM_001001821
1337,ENSG00000197728,HGNC:10414,Approved,RPS26,ribosomal protein S26,6231,uc001sjf.4,NM_001029
1338,ENSG00000231920,HGNC:44899,Approved,NEBL-AS1,NEBL antisense RNA 1,100128511,uc031ptk.3,NR_046283
1339,ENSG00000268555,,,,,,,
1340,ENSG00000236958,,,,,,,
1341,ENSG00000229918,HGNC:40672,Approved,DOCK9-AS1,DOCK9 antisense RNA 1,100874096,uc032amx.1,NR_046663
1342,ENSG00000268438,HGNC:49707,Approved,BNIP3P27,BCL2 interacting protein 3 pseudogene 27,100421708,,NG_024245
1343,ENSG00000268416,,,,,,,
1344,ENSG00000268223,HGNC:44201,Approved,ARL14EPL,ADP ribosylation factor like GTPase 14 effector protein like,644100,uc021yct.3,NM_001195581
1345,ENSG00000268460,,,,,,,
1346,ENSG00000160013,HGNC:9602,Approved,PTGIR,prostaglandin I2 receptor,5739,uc002pex.4,NM_000960
1347,ENSG00000160014,HGNC:1449,Approved,CALM3,calmodulin 3,808,uc002pew.4,NM_001329921
1348,ENSG00000225573,HGNC:36955,Approved,RPL35P5,ribosomal protein L35 pseudogene 5,441246,,NG_009598
1349,ENSG00000269831,,,,,,,
1350,ENSG00000269197,,,,,,,
1351,ENSG00000124449,HGNC:28835,Approved,IRGC,immunity related GTPase cinema,56269,uc002oxh.4,NM_019612
1352,ENSG00000269781,,,,,,,
1353,ENSG00000268681,HGNC:49359,Approved,COX6CP7,cytochrome c oxidase subunit 6C pseudogene 7,106480265,,NG_043986
1354,ENSG00000269837,HGNC:49687,Approved,IPO5P1,importin 5 pseudogene 1,100132815,,NR_103741
1355,ENSG00000231296,,,,,,,
1356,ENSG00000236664,,,,,,,
1357,ENSG00000203572,,,,,,,
1358,ENSG00000142444,HGNC:25152,Approved,TIMM29,translocase of inner mitochondrial membrane 29,90580,uc002mqd.3,NM_138358
1359,ENSG00000122692,HGNC:18247,Approved,SMU1,SMU1 DNA replication regulator and spliceosomal factor,55234,uc003zsf.2,NM_018225
1360,ENSG00000177432,HGNC:19968,Approved,NAP1L5,nucleosome assembly protein 1 like 5,266812,uc003hrx.4,NM_153757
1361,ENSG00000218868,HGNC:38666,Approved,CNN3P1,calponin 3 pseudogene 1,643875,,NG_022343
1362,ENSG00000267037,,,,,,,
1363,ENSG00000104888,HGNC:16704,Approved,SLC17A7,solute carrier family 17 member 7,57030,uc002pnp.4,NM_020309
1364,ENSG00000243083,HGNC:27319,Approved,LINC00870,long intergenic non-protein coding RNA 870,201617,uc003dpd.3,NR_038221
1365,ENSG00000104892,HGNC:20717,Approved,KLC3,kinesin light chain 3,147700,uc002pbf.2,NM_145275
1366,ENSG00000267515,,,,,,,
1367,ENSG00000251606,,,,,,,
1368,ENSG00000267758,,,,,,,
1369,ENSG00000142279,HGNC:20964,Approved,WTIP,WT1 interacting protein,126374,uc002nvm.4,NM_001080436
1370,ENSG00000234076,HGNC:42391,Approved,TPRG1-AS1,TPRG1 antisense RNA 1,100874043,uc062riq.1,NR_046873
1371,ENSG00000213605,,,,,,,
1372,ENSG00000267170,HGNC:1446,Approved,CALM2P1,calmodulin 2 pseudogene 1,100128390,,NG_002716
1373,ENSG00000150732,,,,,,,
1374,ENSG00000267539,,,,,,,
1375,ENSG00000163126,HGNC:24470,Approved,ANKRD23,ankyrin repeat domain 23,200539,uc002sxa.4,NM_144994
1376,ENSG00000267600,,,,,,,
1377,ENSG00000198339,,,,,,,
1378,ENSG00000186980,HGNC:18928,Approved,KRTAP23-1,keratin associated protein 23-1,337963,uc002yny.2,NM_181624
1379,ENSG00000267594,HGNC:39945,Approved,CYP4F24P,"cytochrome P450 family 4 subfamily F member 24, pseudogene",388514,,NR_033864
1380,ENSG00000153721,HGNC:23034,Approved,CNKSR3,CNKSR family member 3,154043,uc021zhc.2,NM_173515
1381,ENSG00000267529,,,,,,,
1382,ENSG00000266903,HGNC:55317,Approved,CEACAM16-AS1,"CEACAM16, CEACAM19 and PVR antisense RNA 1",107985305,,
1383,ENSG00000267149,,,,,,,
1384,ENSG00000267030,,,,,,,
1385,ENSG00000268358,,,,,,,
1386,ENSG00000189190,HGNC:30951,Approved,ZNF600,zinc finger protein 600,162966,uc002qab.5,NM_198457
1387,ENSG00000269138,HGNC:13000,Approved,ZNF209P,"zinc finger protein 209, pseudogene",441843,,NG_021760
1388,ENSG00000005421,HGNC:9204,Approved,PON1,paraoxonase 1,5444,uc003uns.4,NM_000446
1389,ENSG00000268581,HGNC:15491,Approved,SIGLEC18P,"sialic acid binding Ig like lectin 18, pseudogene",114184,,NG_004728
1390,ENSG00000232631,HGNC:42124,Approved,MTND2P23,MT-ND2 pseudogene 23,100873229,,NG_032435
1391,ENSG00000180610,HGNC:37702,Approved,ZBTB12BP,"zinc finger and BTB domain containing 12B, pseudogene",100499252,,NG_023432
1392,ENSG00000124469,HGNC:1820,Approved,CEACAM8,CEA cell adhesion molecule 8,1088,uc002oud.3,NM_001816
1393,ENSG00000105583,HGNC:30203,Approved,WDR83OS,WD repeat domain 83 opposite strand,51398,uc002mud.3,NM_016145
1394,ENSG00000233405,HGNC:49040,Approved,LINC01046,long intergenic non-protein coding RNA 1046,103689843,,NR_125745
1395,ENSG00000237057,HGNC:52938,Approved,LINC02087,long intergenic non-protein coding RNA 2087,101928567,,NR_110839
1396,ENSG00000268111,,,,,,,
1397,ENSG00000219891,HGNC:13850,Approved,ZSCAN12P1,zinc finger and SCAN domain containing 12 pseudogene 1,221584,,NR_024063
1398,ENSG00000170166,HGNC:5138,Approved,HOXD4,homeobox D4,3233,uc002uks.4,NM_014621
1399,ENSG00000269554,,,,,,,
1400,ENSG00000218510,HGNC:25011,Approved,LINC00339,long intergenic non-protein coding RNA 339,29092,uc284mnl.1,NR_109762
1401,ENSG00000269535,,,,,,,
1402,ENSG00000224750,,,,,,,
1403,ENSG00000259086,HGNC:54591,Approved,KIAA1143P1,KIAA1143 pseudogene 1,644295,,NG_005558
1404,ENSG00000218274,,,,,,,
1405,ENSG00000268079,HGNC:49710,Approved,BNIP3P30,BCL2 interacting protein 3 pseudogene 30,106481694,,NG_043156
1406,ENSG00000269604,,,,,,,
1407,ENSG00000267898,,,,,,,
1408,ENSG00000268936,,,,,,,
1409,ENSG00000267986,,,,,,,
1410,ENSG00000204950,HGNC:37215,Approved,LRRC10B,leucine rich repeat containing 10B,390205,uc010rlk.2,NM_001145077
1411,ENSG00000240386,HGNC:29467,Approved,LCE1F,late cornified envelope 1F,353137,uc010pdv.3,NM_178354
1412,ENSG00000268809,,,,,,,
1413,ENSG00000256181,,,,,,,
1414,ENSG00000238188,HGNC:55130,Approved,SPRING1P2,SPRING1 pseudogene 2,100130170,,NG_022703
1415,ENSG00000255339,,,,,,,
1416,ENSG00000269316,HGNC:54570,Approved,RAD54L2P1,RAD54L2 pseudogene 1,100420273,,NG_024249
1417,ENSG00000105427,HGNC:30183,Approved,CNFN,cornifelin,84518,uc002otp.5,NM_032488
1418,ENSG00000269352,HGNC:51284,Approved,PTOV1-AS2,PTOV1 antisense RNA 2,101928378,,NR_110730
1419,ENSG00000267834,,,,,,,
1420,ENSG00000269794,,,,,,,
1421,ENSG00000156603,HGNC:29600,Approved,MED19,mediator complex subunit 19,219541,uc001nla.2,NM_153450
1422,ENSG00000269471,,,,,,,
1423,ENSG00000142233,HGNC:25208,Approved,NTN5,netrin 5,126147,uc002pkb.3,NM_145807
1424,ENSG00000268423,,,,,,,
1425,ENSG00000142039,HGNC:28289,Approved,CCDC97,coiled-coil domain containing 97,90324,uc002oqg.3,NM_052848
1426,ENSG00000188646,,,,,,,
1427,ENSG00000239392,,,,,,,
1428,ENSG00000231913,HGNC:48702,Approved,RARRES2P3,retinoic acid receptor responder 2 pseudogene 3,106481659,,NG_044906
1429,ENSG00000219703,HGNC:49782,Approved,RAP1BP3,RAP1B pseudogene 3,100132917,,NG_030190
1430,ENSG00000142409,HGNC:26998,Approved,ZNF787,zinc finger protein 787,126208,uc032igd.1,NM_001002836
1431,ENSG00000269552,HGNC:8371,Approved,OR7A8P,olfactory receptor family 7 subfamily A member 8 pseudogene,26661,,NG_003166
1432,ENSG00000224904,HGNC:54552,Approved,SBF1P2,SBF1 pseudogene 2,390997,,NG_012281
1433,ENSG00000105523,HGNC:25972,Approved,FAM83E,family with sequence similarity 83 member E,54854,uc002pjn.3,NM_017708
1434,ENSG00000142065,HGNC:29312,Approved,ZFP14,ZFP14 zinc finger protein,57677,uc010eex.3,NM_020917
1435,ENSG00000237077,HGNC:36620,Approved,RPL38P2,RPL38 pseudogene 2,100129991,,NG_011032
1436,ENSG00000269751,,,,,,,
1437,ENSG00000269635,,,,,,,
1438,ENSG00000104783,HGNC:6293,Approved,KCNN4,potassium calcium-activated channel subfamily N member 4,3783,uc002oxl.3,NM_002250
1439,ENSG00000236194,,,,,,,
1440,ENSG00000172746,HGNC:51936,Approved,RPL12P13,ribosomal protein L12 pseudogene 13,100129926,,NG_009912
1441,ENSG00000198077,HGNC:2611,Approved,CYP2A7,cytochrome P450 family 2 subfamily A member 7,1549,uc002opm.3,NM_030589
1442,ENSG00000268472,,,,,,,
1443,ENSG00000268861,,,,,,,
1444,ENSG00000226045,,,,,,,
1445,ENSG00000269524,,,,,,,
1446,ENSG00000269386,HGNC:44178,Approved,RAB11B-AS1,RAB11B antisense RNA 1,100507567,uc002mjt.5,NR_038237
1447,ENSG00000267871,HGNC:53774,Approved,ZNF460-AS1,ZNF460 antisense RNA 1,105372476,,NR_136528
1448,ENSG00000269420,HGNC:51585,Approved,PLA2G4C-AS1,PLA2G4C antisense RNA 1,106144526,,NR_132363
1449,ENSG00000268926,,,,,,,
1450,ENSG00000268401,,,,,,,
1451,ENSG00000213917,HGNC:36290,Approved,RPL5P8,ribosomal protein L5 pseudogene 8,100130523,,NG_011133
1452,ENSG00000267213,HGNC:55307,Approved,DPY19L3-DT,DPY19L3 divergent transcript,400684,,NR_046201
1453,ENSG00000269653,,,,,,,
1454,ENSG00000268673,,,,,,,
1455,ENSG00000242019,HGNC:16312,Approved,KIR3DL3,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3",115653,uc032ieo.2,NM_153443
1456,ENSG00000163283,HGNC:439,Approved,ALPP,"alkaline phosphatase, placental",250,uc002vsq.4,NM_001632
1457,ENSG00000269641,,,,,,,
1458,ENSG00000254769,HGNC:15161,Approved,OR4A4P,olfactory receptor family 4 subfamily A member 4 pseudogene,390134,,NG_004331
1459,ENSG00000268906,,,,,,,
1460,ENSG00000264609,,,,,,,
1461,ENSG00000264737,HGNC:41589,Approved,MIR4511,microRNA 4511,100616379,uc021spb.1,NR_039736
1462,ENSG00000264686,,,,,,,
1463,ENSG00000265455,,,,,,,
1464,ENSG00000225594,,,,,,,
1465,ENSG00000105246,HGNC:3129,Approved,EBI3,Epstein-Barr virus induced 3,10148,uc002lzu.4,NM_005755
1466,ENSG00000130766,HGNC:20746,Approved,SESN2,sestrin 2,83667,uc001bps.4,NM_031459
1467,ENSG00000269608,HGNC:42865,Approved,OSTCP3,oligosaccharyltransferase complex subunit pseudogene 3,646557,,NG_030060
1468,ENSG00000234055,,,,,,,
1469,ENSG00000073598,HGNC:25286,Approved,FNDC8,fibronectin type III domain containing 8,54752,uc002hix.4,NM_017559
1470,ENSG00000267845,,,,,,,
1471,ENSG00000268087,,,,,,,
1472,ENSG00000267980,,,,,,,
1473,ENSG00000235878,,,,,,,
1474,ENSG00000171396,HGNC:16928,Approved,KRTAP4-4,keratin associated protein 4-4,84616,uc002hwc.4,NM_032524
1475,ENSG00000083535,HGNC:23352,Approved,PIBF1,progesterone immunomodulatory binding factor 1,10464,uc001vjc.4,NM_006346
1476,ENSG00000234891,,,,,,,
1477,ENSG00000271788,,,,,,,
1478,ENSG00000196787,HGNC:4737,Approved,H2AC11,H2A clustered histone 11,8969,uc003niw.4,NM_021064
1479,ENSG00000269866,,,,,,,
1480,ENSG00000267804,,,,,,,
1481,ENSG00000197185,HGNC:30637,Approved,SSXP1,SSX family pseudogene 1,100996564,,NG_033927
1482,ENSG00000269182,,,,,,,
1483,ENSG00000235016,HGNC:40518,Approved,SEMA3F-AS1,SEMA3F antisense RNA 1,100129060,,NR_135301
1484,ENSG00000269402,,,,,,,
1485,ENSG00000268041,HGNC:53894,Approved,ERFL,ETS repressor factor like,390937,,NM_001365103
1486,ENSG00000267984,,,,,,,
1487,ENSG00000130758,HGNC:6849,Approved,MAP3K10,mitogen-activated protein kinase kinase kinase 10,4294,uc002ona.3,NM_002446
1488,ENSG00000126458,HGNC:10447,Approved,RRAS,RAS related,6237,uc002pop.2,NM_006270
1489,ENSG00000219074,HGNC:45134,Approved,SOD1P1,superoxide dismutase 1 pseudogene 1,106479055,,NG_044539
1490,ENSG00000105550,HGNC:3678,Approved,FGF21,fibroblast growth factor 21,26291,uc002pkn.2,NM_019113
1491,ENSG00000237711,HGNC:52041,Approved,MTCO3P11,MT-CO3 pseudogene 11,107075153,,NG_046969
1492,ENSG00000233299,HGNC:43000,Approved,HIGD1AP4,HIG1 hypoxia inducible domain family member 1A pseudogene 4,100874435,,NG_032542
1493,ENSG00000235852,,,,,,,
1494,ENSG00000269337,,,,,,,
1495,ENSG00000104848,HGNC:6226,Approved,KCNA7,potassium voltage-gated channel subfamily A member 7,3743,uc002pmg.3,NM_031886
1496,ENSG00000262633,,,,,,,
1497,ENSG00000182156,HGNC:23764,Approved,ENPP7,ectonucleotide pyrophosphatase/phosphodiesterase 7,339221,uc002jxa.5,NM_178543
